ID;Instalacao LOCALIZACAO;Projeto LOCALIZACAO;NOME;MODELO;SERIAL;TAG;DATA DE ENTRADA;FABRICANTE;TIPO;DESCRICAO;Criptografado;Endereco hsWNet;Porcentagem Jiga;RSSI medio (dB);Resultado jiga;Status;ULTIMO INVENTARIO
6996059;-;-;83887595;White Knight;83887595;;21/07/2020;nexxto;Gateway; - ;Nao;83887595;69.0;-19.82608695652174;APROVADO;Em estoque;-
270398;Clinica FEMI Medicina Reprodutiva;-;83886623;White Knight;83886623;;14/07/2017;nexxto;Gateway; - ;Nao;83886623;28.000000000000004;-57.57142857142857;APROVADO;Em estoque;-
6996000;ONC13 SP - INORP;Projeto Oncoclinicas;83887587;White Knight;83887587;;21/07/2020;nexxto;Gateway; - ;Nao;83887587;70.0;-16.214285714285715;APROVADO;Em estoque;-
9404612;-;-;83887987;White Knight;83887987;;01/06/2021;nexxto;Gateway; - ;Nao;83887987;69.0;-27.028985507246375;APROVADO;Em estoque;-
270409;GRSA - Hospital Paulistano;-;83886629;White Knight;83886629;;14/07/2017;nexxto;Gateway; - ;Nao;83886629;62.0;-50.935483870967744;APROVADO;Em estoque;-
270439;VT03 - HFR (Hospital Felicio Rocho);-;83886645;White Knight;83886645;;14/07/2017;nexxto;Gateway; - ;Nao;83886645;56.00000000000001;-37.964285714285715;APROVADO;Em estoque;-
6995991;-;-;83887593;White Knight;83887593;;21/07/2020;nexxto;Gateway; - ;Nao;83887593;61.0;-25.065573770491802;APROVADO;Em estoque;-
6996200;ONC15 PR - IHOC;Projeto Oncoclinicas;83887579;White Knight;83887579;;21/07/2020;nexxto;Gateway; - ;Nao;83887579;71.0;-39.45070422535211;APROVADO;Em estoque;-
9404424;-;-;83887992;White Knight;83887992;;01/06/2021;nexxto;Gateway; - ;Nao;83887992;54.0;-29.944444444444443;APROVADO;Em estoque;-
327828;Hospital Santa Genoveva;-;83886514;White Knight;83886514;;02/08/2017;nexxto;Gateway; - ;Nao;83886514;39.0;-54.35897435897436;APROVADO;Em estoque;-
6996217;-;-;83887589;White Knight;83887589;;21/07/2020;nexxto;Gateway; - ;Nao;83887589;54.0;-21.833333333333332;APROVADO;Em estoque;-
15089776;-;-;83888317;White Knight;83888317;;09/01/2023;nexxto;Gateway; - ;;83888317;0.0;0.0;REPROVADO;Em estoque;-
6996208;ONC14 SP - Pro Onco;Projeto Oncoclinicas;83887588;White Knight;83887588;;21/07/2020;nexxto;Gateway; - ;Nao;83887588;57.99999999999999;-18.137931034482758;APROVADO;Em estoque;-
65700;Alvorada Loja 06 - Getulio Vargas (Itajuba);-;83886505;White Knight;83886505;;03/05/2017;nexxto;Gateway; - ;Nao;83886505;34.0;-46.3235294117647;APROVADO;Em estoque;-
6996173;-;-;83887600;White Knight;83887600;;21/07/2020;nexxto;Gateway; - ;Nao;83887600;45.0;-39.91111111111111;APROVADO;Em estoque;-
6996163;ONC10 SP - CPO Higienopolis;Projeto Oncoclinicas;83887598;White Knight;83887598;;21/07/2020;nexxto;Gateway; - ;Nao;83887598;60.0;-18.783333333333335;APROVADO;Em estoque;-
6996182;-;-;83887601;White Knight;83887601;;21/07/2020;nexxto;Gateway; - ;Nao;83887601;64.0;-16.796875;APROVADO;Em estoque;-
7045280;ONC07 MG - Radiocare;Projeto Oncoclinicas;83887577;White Knight;83887577;;28/07/2020;nexxto;Gateway; - ;Nao;83887577;41.0;-24.29268292682927;APROVADO;Em estoque;-
6996154;ONC13 SP - INORP;Projeto Oncoclinicas;83887597;White Knight;83887597;;21/07/2020;nexxto;Gateway; - ;Nao;83887597;67.0;-16.70149253731343;APROVADO;Em estoque;-
15089724;-;-;83888323;White Knight;83888323;;09/01/2023;nexxto;Gateway; - ;;83888323;49.0;-34.69387755102041;APROVADO;Em estoque;-
6643847;-;-;83887367;White Knight;83887367;;04/06/2020;nexxto;Gateway; - ;Nao;83887367;60.0;-52.2;APROVADO;Em estoque;-
9404517;-;-;83887988;White Knight;83887988;;01/06/2021;nexxto;Gateway; - ;Nao;83887988;66.0;-24.46969696969697;APROVADO;Em estoque;-
6643856;-;-;83887310;White Knight;83887310;;04/06/2020;nexxto;Gateway; - ;Nao;83887310;63.0;-30.0;APROVADO;Em estoque;-
6643865;-;-;83887264;White Knight;83887264;;04/06/2020;nexxto;Gateway; - ;Nao;83887264;59.0;-28.10169491525424;APROVADO;Em estoque;-
15270377;-;-;83887898;White Knight;83887898;;01/02/2023;nexxto;Gateway; - ;;83887898;50.0;-37.52;APROVADO;Em estoque;-
11567529;-;-;83888062;White Knight;83888062;;18/01/2022;nexxto;Gateway; - ;Nao;83888062;63.0;-20.317460317460316;APROVADO;Em estoque;-
65823;Alvorada Loja 12 - Foch (P.Alegre);-;83886503;White Knight;83886503;;03/05/2017;nexxto;Gateway; - ;Nao;83886503;54.0;-38.870370370370374;APROVADO;Em estoque;-
15270346;-;-;83887924;White Knight;83887924;;01/02/2023;nexxto;Gateway; - ;;83887924;53.0;-40.867924528301884;APROVADO;Em estoque;-
15270336;-;-;83888090;White Knight;83888090;;01/02/2023;nexxto;Gateway; - ;;83888090;47.0;-37.97872340425532;APROVADO;Em estoque;-
65840;Hospital Santa Catarina;-;83886565;White Knight;83886565;;03/05/2017;nexxto;Gateway; - ;Nao;83886565;43.0;-37.18604651162791;APROVADO;Em estoque;-
6799704;-;-;83887443;White Knight;83887443;;25/06/2020;nexxto;Gateway; - ;Nao;83887443;46.0;-22.76086956521739;APROVADO;Em estoque;-
13549963;VT08 - HSL (Hospital Sao Lucas);-;83888159;White Knight;83888159;;15/07/2022;nexxto;Gateway; - ;;83888159;53.0;-28.962264150943398;APROVADO;Em estoque;-
6996263;ONC12 SP - BP Mirante;Projeto Oncoclinicas;83887599;White Knight;83887599;;21/07/2020;nexxto;Gateway; - ;Nao;83887599;59.0;-18.593220338983052;APROVADO;Em estoque;-
13549953;ONC58 - NEON Serra;Projeto Oncoclinicas;83888164;White Knight;83888164;;15/07/2022;nexxto;Gateway; - ;;83888164;45.0;-38.17777777777778;APROVADO;Em estoque;-
6996281;ONC19 DF - Alianca Advance;Projeto Oncoclinicas;83887584;White Knight;83887584;;21/07/2020;nexxto;Gateway; - ;Nao;83887584;63.0;-20.984126984126984;APROVADO;Em estoque;-
6996272;-;-;83887585;White Knight;83887585;;21/07/2020;nexxto;Gateway; - ;Nao;83887585;65.0;-15.907692307692308;APROVADO;Em estoque;-
15090108;-;-;83888315;White Knight;83888315;;09/01/2023;nexxto;Gateway; - ;;83888315;55.00000000000001;-34.45454545454545;APROVADO;Em estoque;-
6996235;-;-;83887592;White Knight;83887592;;21/07/2020;nexxto;Gateway; - ;Nao;83887592;;;;Em estoque;-
6996226;ONC06 MG - COT Araguari;Projeto Oncoclinicas;83887580;White Knight;83887580;;21/07/2020;nexxto;Gateway; - ;Nao;83887580;62.0;-24.516129032258064;APROVADO;Em estoque;-
15090057;-;-;83888320;White Knight;83888320;;09/01/2023;nexxto;Gateway; - ;;83888320;72.0;-17.65277777777778;APROVADO;Em estoque;-
8741367;-;-;83887749;White Knight;83887749;;03/03/2021;nexxto;Gateway; - ;Nao;83887749;63.0;-43.96825396825397;APROVADO;Em estoque;-
6996254;-;-;83887590;White Knight;83887590;;21/07/2020;nexxto;Gateway; - ;Nao;83887590;70.0;-21.785714285714285;APROVADO;Em estoque;-
6996244;ONC14 SP - Pro Onco;Projeto Oncoclinicas;83887594;White Knight;83887594;;21/07/2020;nexxto;Gateway; - ;Nao;83887594;56.00000000000001;-20.107142857142858;APROVADO;Em estoque;-
15270253;-;-;83886581;White Knight;83886581;;31/01/2023;nexxto;Gateway; - ;;83886581;;;REPROVADO;Em estoque;-
13549905;-;-;83888158;White Knight;83888158;;15/07/2022;nexxto;Gateway; - ;;83888158;50.0;-27.48;APROVADO;Em estoque;-
9404719;Pontes Comercio;-;83887996;White Knight;83887996;;01/06/2021;nexxto;Gateway; - ;Nao;83887996;62.0;-27.112903225806452;APROVADO;Em estoque;-
6799821;ONC16 RS - CQO The Place;Projeto Oncoclinicas;83887218;White Knight;83887218;;25/06/2020;nexxto;Gateway; - ;Nao;83887218;70.0;-22.0;APROVADO;Em estoque;-
6799830;-;-;83887233;White Knight;83887233;;25/06/2020;nexxto;Gateway; - ;Nao;83887233;53.0;-22.81132075471698;APROVADO;Em estoque;-
15090007;-;-;83888321;White Knight;83888321;;09/01/2023;nexxto;Gateway; - ;;83888321;47.0;-24.02127659574468;APROVADO;Em estoque;-
7045598;ONC01 MG - Hematologica - Matriz;Projeto Oncoclinicas;83887570;White Knight;83887570;;28/07/2020;nexxto;Gateway;Equipamento na central de diluicao, com Tagao (apenas Nobreak, sem 4G) // IP reservado = 10.50.20.51;Nao;83887570;51.0;-24.274509803921568;APROVADO;Em estoque;-
6799839;-;-;83887268;White Knight;83887268;;25/06/2020;nexxto;Gateway; - ;Nao;83887268;74.0;-23.95945945945946;APROVADO;Em estoque;-
13549942;-;-;83888167;White Knight;83888167;;15/07/2022;nexxto;Gateway; - ;;83888167;50.0;-27.78;APROVADO;Em estoque;-
9404745;-;-;83887990;White Knight;83887990;;01/06/2021;nexxto;Gateway; - ;Nao;83887990;56.99999999999999;-32.6140350877193;APROVADO;Em estoque;-
9404775;-;-;83887994;White Knight;83887994;;01/06/2021;nexxto;Gateway; - ;Nao;83887994;56.99999999999999;-34.59649122807018;APROVADO;Em estoque;-
2154956;Hospital Santa Genoveva;-;83886781;White Knight;83886781;;09/04/2018;nexxto;Gateway; - ;Nao;83886781;47.0;-34.46808510638298;APROVADO;Em estoque;-
8741509;BP Paulista;BP - A Beneficencia Portuguesa;83887719;White Knight;83887719;;03/03/2021;nexxto;Gateway;Farmacia - quimioterapia 9° Andar;Nao;83887719;61.0;-35.90163934426229;APROVADO;Em estoque;-
7045738;ONC11 SP - Medicina de Precisao;Projeto Oncoclinicas;83887560;White Knight;83887560;;28/07/2020;nexxto;Gateway; - ;Nao;83887560;36.0;-25.27777777777778;APROVADO;Em estoque;-
7045729;ONC11 SP - Medicina de Precisao;Projeto Oncoclinicas;83887566;White Knight;83887566;;28/07/2020;nexxto;Gateway; - ;Nao;83887566;41.0;-32.90243902439025;APROVADO;Em estoque;-
15090411;-;-;83888319;White Knight;83888319;;10/01/2023;nexxto;Gateway; - ;;83888319;46.0;-21.565217391304348;APROVADO;Em estoque;-
11567780;-;-;83888081;White Knight;83888081;;18/01/2022;nexxto;Gateway; - ;Nao;83888081;73.0;-57.0958904109589;APROVADO;Em estoque;-
7045747;ONC02 MG - Hematologica Filial;Projeto Oncoclinicas;83887574;White Knight;83887574;;28/07/2020;nexxto;Gateway; - ;Nao;83887574;42.0;-36.26190476190476;APROVADO;Em estoque;-
8741533;-;-;83887777;White Knight;83887777;;03/03/2021;nexxto;Gateway; - ;Nao;83887777;67.0;-39.23880597014925;APROVADO;Em estoque;-
7045711;-;-;83887556;White Knight;83887556;;28/07/2020;nexxto;Gateway; - ;Nao;83887556;50.0;-30.62;APROVADO;Em estoque;-
7045702;ONC01 MG - Hematologica - Matriz;Projeto Oncoclinicas;83887561;White Knight;83887561;;28/07/2020;nexxto;Gateway; - ;Nao;83887561;55.00000000000001;-40.03636363636364;APROVADO;Em estoque;-
7045720;ONC09 SP - CPO FL;Projeto Oncoclinicas;83887565;White Knight;83887565;;28/07/2020;nexxto;Gateway; - ;Nao;83887565;53.0;-39.264150943396224;APROVADO;Em estoque;-
459324;Raizen - Faria Lima;-;83886690;White Knight;83886690;;28/11/2017;nexxto;Gateway; - ;Nao;83886690;49.0;-36.46938775510204;APROVADO;Em estoque;-
8741563;-;-;83887780;White Knight;83887780;;03/03/2021;nexxto;Gateway; - ;Nao;83887780;66.0;-38.84848484848485;APROVADO;Em estoque;-
7045674;Hospital Santa Paula;-;83887573;White Knight;83887573;;28/07/2020;nexxto;Gateway; - ;Nao;83887573;60.0;-27.05;APROVADO;Em estoque;-
8741572;-;-;83887717;White Knight;83887717;;03/03/2021;nexxto;Gateway; - ;Nao;83887717;55.00000000000001;-41.836363636363636;APROVADO;Em estoque;-
15270572;-;-;83887906;White Knight;83887906;;01/02/2023;nexxto;Gateway; - ;;83887906;51.0;-38.333333333333336;APROVADO;Em estoque;-
7045665;-;-;83887563;White Knight;83887563;;28/07/2020;nexxto;Gateway; - ;Nao;83887563;47.0;-29.574468085106382;APROVADO;Em estoque;-
11567868;-;-;83888069;White Knight;83888069;;18/01/2022;nexxto;Gateway; - ;Nao;83888069;78.0;-59.12820512820513;APROVADO;Em estoque;-
459338;GRSA/InovaSaude HSJC;-;83886746;White Knight;83886746;;28/11/2017;nexxto;Gateway; - ;Nao;83886746;32.0;-56.40625;APROVADO;Em estoque;-
459345;Raizen - Faria Lima;-;83886689;White Knight;83886689;;28/11/2017;nexxto;Gateway; - ;Nao;83886689;66.0;-26.727272727272727;APROVADO;Em estoque;-
7045692;Hospital Santa Paula;-;83887568;White Knight;83887568;;28/07/2020;nexxto;Gateway; - ;Nao;83887568;52.0;-26.807692307692307;APROVADO;Em estoque;-
7045683;ONC11 SP - Medicina de Precisao;Projeto Oncoclinicas;83887578;White Knight;83887578;;28/07/2020;nexxto;Gateway; - ;Nao;83887578;47.0;-26.148936170212767;APROVADO;Em estoque;-
7045656;ONC11 SP - Medicina de Precisao;Projeto Oncoclinicas;83887575;White Knight;83887575;;28/07/2020;nexxto;Gateway; - ;Nao;83887575;48.0;-19.979166666666668;APROVADO;Em estoque;-
6365922;-;-;83887208;White Knight;83887208;;17/04/2020;nexxto;Gateway; - ;Nao;83887208;50.0;-29.56;APROVADO;Em estoque;-
8741376;-;-;83887742;White Knight;83887742;;03/03/2021;nexxto;Gateway; - ;Nao;83887742;64.0;-43.40625;APROVADO;Em estoque;-
7045859;ONC18 DF - OncoVida;Projeto Oncoclinicas;83887572;White Knight;83887572;;28/07/2020;nexxto;Gateway; - ;Nao;83887572;52.0;-23.0;APROVADO;Em estoque;-
459402;-;-;83886694;White Knight;83886694;;28/11/2017;nexxto;Gateway; - ;Nao;83886694;54.0;-54.01851851851852;APROVADO;Em estoque;-
7045886;ONC11 SP - Medicina de Precisao;Projeto Oncoclinicas;83887551;White Knight;83887551;;28/07/2020;nexxto;Gateway; - ;Nao;83887551;78.0;-57.82051282051282;APROVADO;Em estoque;-
459423;-;-;83886696;White Knight;83886696;;28/11/2017;nexxto;Gateway; - ;Nao;83886696;38.0;-40.73684210526316;APROVADO;Em estoque;-
15270516;-;-;83888192;White Knight;83888192;;01/02/2023;nexxto;Gateway; - ;;83888192;46.0;-38.71739130434783;APROVADO;Em estoque;-
5317327;-;-;83887125;White Knight;83887125;;26/11/2019;nexxto;Gateway; - ;Nao;83887125;47.0;-49.59574468085106;APROVADO;Em estoque;-
459416;Google - GRSA;-;83886753;White Knight;83886753;;28/11/2017;nexxto;Gateway; - ;Nao;83886753;63.0;-33.01587301587302;APROVADO;Em estoque;-
459430;VT07 - HMDBC (Mater Dei Betim);-;83886706;White Knight;83886706;;28/11/2017;nexxto;Gateway; - ;Nao;83886706;46.0;-32.65217391304348;APROVADO;Em estoque;-
7045833;ONC01 MG - Hematologica - Matriz;Projeto Oncoclinicas;83887554;White Knight;83887554;;28/07/2020;nexxto;Gateway;Equipamento instalado no CPD // IP reservado = 10.50.20.63;Nao;83887554;53.0;-27.32075471698113;APROVADO;Em estoque;-
7045824;ONC02 MG - Hematologica Filial;Projeto Oncoclinicas;83887576;White Knight;83887576;;28/07/2020;nexxto;Gateway;Instalado no Armazenamento-Item com nobreak / tagao (sem 4g);Nao;83887576;53.0;-22.0;APROVADO;Em estoque;-
459447;Raizen - Piracicaba CAR;-;83886741;White Knight;83886741;;28/11/2017;nexxto;Gateway; - ;Nao;83886741;35.0;-23.17142857142857;APROVADO;Em estoque;-
7045851;Hospital Santa Paula;-;83887555;White Knight;83887555;;28/07/2020;nexxto;Gateway; - ;Nao;83887555;43.0;-27.953488372093023;APROVADO;Em estoque;-
5317345;-;-;83887159;White Knight;83887159;;26/11/2019;nexxto;Gateway; - ;Nao;83887159;45.0;-33.46666666666667;APROVADO;Em estoque;-
15090260;-;-;83888316;White Knight;83888316;;09/01/2023;nexxto;Gateway; - ;;83888316;49.0;-25.428571428571427;APROVADO;Em estoque;-
8741426;-;-;83887794;White Knight;83887794;;03/03/2021;nexxto;Gateway; - ;Nao;83887794;68.0;-36.0735294117647;APROVADO;Em estoque;-
7045842;ONC11 SP - Medicina de Precisao;Projeto Oncoclinicas;83887559;White Knight;83887559;;28/07/2020;nexxto;Gateway; - ;Nao;83887559;49.0;-18.836734693877553;APROVADO;Em estoque;-
8741435;-;-;83887785;White Knight;83887785;;03/03/2021;nexxto;Gateway; - ;Nao;83887785;59.0;-35.610169491525426;APROVADO;Em estoque;-
7045806;ONC01 MG - Hematologica - Matriz;Projeto Oncoclinicas;83887564;White Knight;83887564;;28/07/2020;nexxto;Gateway;Instalado na Farmacia / IP reservado = 10.50.20.31;Nao;83887564;47.0;-25.02127659574468;APROVADO;Em estoque;-
15090209;-;-;83888311;White Knight;83888311;;09/01/2023;nexxto;Gateway; - ;;83888311;51.0;-40.68627450980392;APROVADO;Em estoque;-
459484;ONC62 - IRV;Projeto Oncoclinicas;83886675;White Knight;83886675;;28/11/2017;nexxto;Gateway; - ;Nao;83886675;56.99999999999999;-44.3859649122807;APROVADO;Em estoque;-
7045815;ONC08 MG - Nucleo de Hematologia;Projeto Oncoclinicas;83887567;White Knight;83887567;;28/07/2020;nexxto;Gateway; - ;Nao;83887567;48.0;-25.6875;APROVADO;Em estoque;-
3613416;VT25 - HSG (Hospital Santa Genoveva);-;83886566;White Knight;83886566;;21/02/2019;nexxto;Gateway; - ;Nao;83886566;50.0;-47.54;APROVADO;Em estoque;-
459491;ONC73 - Onco Care;Projeto Oncoclinicas;83886734;White Knight;83886734;;28/11/2017;nexxto;Gateway; - ;Nao;83886734;52.0;-41.78846153846154;APROVADO;Em estoque;-
11567700;-;-;83888084;White Knight;83888084;;18/01/2022;nexxto;Gateway; - ;Nao;83888084;65.0;-21.553846153846155;APROVADO;Em estoque;-
459506;VT24 -UMC (Uberlandia Medical Center);-;83886775;White Knight;83886775;;28/11/2017;nexxto;Gateway; - ;Nao;83886775;0.0;0.0;REPROVADO;Em estoque;-
4195136;Firmenich - Fibras 01;-;83886799;White Knight;83886799;;31/05/2019;nexxto;Gateway; - ;Nao;83886799;66.0;-35.81818181818182;APROVADO;Em estoque;-
15090666;-;-;83888304;White Knight;83888304;;10/01/2023;nexxto;Gateway; - ;;83888304;54.0;-25.037037037037038;APROVADO;Em estoque;-
5317440;Vet Baruc Clinica Veterinaria;-;83887157;White Knight;83887157;;26/11/2019;nexxto;Gateway; - ;Nao;83887157;45.0;-33.17777777777778;APROVADO;Em estoque;-
5317449;-;-;83887155;White Knight;83887155;;26/11/2019;nexxto;Gateway; - ;Nao;83887155;54.0;-54.092592592592595;APROVADO;Em estoque;-
8741784;-;-;83887736;White Knight;83887736;;03/03/2021;nexxto;Gateway; - ;Nao;83887736;62.0;-39.61290322580645;APROVADO;Em estoque;-
66336;-;-;83886607;White Knight;83886607;;03/05/2017;nexxto;Gateway; - ;Nao;83886607;56.99999999999999;-41.36842105263158;APROVADO;Em estoque;-
8741793;BP Paulista;BP - A Beneficencia Portuguesa;83887782;White Knight;83887782;;03/03/2021;nexxto;Gateway;Farmacia - endoscopia - terreo--;Nao;83887782;56.00000000000001;-41.42857142857143;APROVADO;Em estoque;-
6366025;-;-;83887209;White Knight;83887209;;17/04/2020;nexxto;Gateway;IHOC Unidade paulista-Ip fixo = 192.168.2.100;Nao;83887209;42.0;-41.142857142857146;APROVADO;Em estoque;-
8741802;HAOC Paulista;Projeto Hospital Alemao Oswaldo Cruz HAOC;83887798;White Knight;83887798;;03/03/2021;nexxto;Gateway;13º andar bloco E---;Nao;83887798;69.0;-30.869565217391305;APROVADO;Em estoque;-
107316;-;-;83886530;White Knight;83886530;;22/06/2017;nexxto;Gateway; - ;Nao;83886530;55.00000000000001;-23.418181818181818;APROVADO;Em estoque;-
8741826;-;-;83887795;White Knight;83887795;;03/03/2021;nexxto;Gateway; - ;Nao;83887795;65.0;-33.09230769230769;APROVADO;Em estoque;-
5317404;Pet Movel;-;83887136;White Knight;83887136;;26/11/2019;nexxto;Gateway; - ;Nao;83887136;55.00000000000001;-34.45454545454545;APROVADO;Em estoque;-
15090614;-;-;83888308;White Knight;83888308;;10/01/2023;nexxto;Gateway; - ;;83888308;52.0;-25.076923076923077;APROVADO;Em estoque;-
459611;ONC63 - CETTRO Taguatinga;Projeto Oncoclinicas;83886751;White Knight;83886751;;28/11/2017;nexxto;Gateway; - ;Nao;83886751;67.0;-31.761194029850746;APROVADO;Em estoque;-
4195102;BRF -  Gaurama ;-;83886811;White Knight;83886811;;31/05/2019;nexxto;Gateway; - ;Nao;83886811;38.0;-29.473684210526315;APROVADO;Em estoque;-
8741850;BP Paulista;BP - A Beneficencia Portuguesa;83887732;White Knight;83887732;;03/03/2021;nexxto;Gateway; - ;Nao;83887732;68.0;-30.941176470588236;APROVADO;Em estoque;-
15090564;-;-;83888305;White Knight;83888305;;10/01/2023;nexxto;Gateway; - ;;83888305;56.00000000000001;-29.589285714285715;APROVADO;Em estoque;-
459618;-;-;83886755;White Knight;83886755;;28/11/2017;nexxto;Gateway; - ;Nao;83886755;31.0;-47.61290322580645;APROVADO;Em estoque;-
5317431;-;-;83887158;White Knight;83887158;;26/11/2019;nexxto;Gateway; - ;Nao;83887158;53.0;-27.528301886792452;APROVADO;Em estoque;-
11568092;-;-;83888079;White Knight;83888079;;18/01/2022;nexxto;Gateway; - ;Nao;83888079;43.0;-50.74418604651163;APROVADO;Em estoque;-
459625;Lenovo - Indaiatuba;-;83886748;White Knight;83886748;;28/11/2017;nexxto;Gateway; - ;Nao;83886748;46.0;-28.17391304347826;APROVADO;Em estoque;-
5317413;-;-;83887156;White Knight;83887156;;26/11/2019;nexxto;Gateway; - ;Nao;83887156;61.0;-28.9672131147541;APROVADO;Em estoque;-
8741873;-;-;83887786;White Knight;83887786;;04/03/2021;nexxto;Gateway; - ;Nao;83887786;61.0;-59.98360655737705;APROVADO;Em estoque;-
459632;Hospital Nipo Brasileiro;-;83886698;White Knight;83886698;;28/11/2017;nexxto;Gateway; - ;Nao;83886698;38.0;-58.13157894736842;APROVADO;Em estoque;-
459646;Sullab Curitiba;-;83886714;White Knight;83886714;;28/11/2017;nexxto;Gateway; - ;Nao;83886714;49.0;-17.306122448979593;APROVADO;Em estoque;-
7045905;ONC11 SP - Medicina de Precisao;Projeto Oncoclinicas;83887569;White Knight;83887569;;28/07/2020;nexxto;Gateway; - ;Nao;83887569;64.0;-14.625;APROVADO;Em estoque;-
5317422;Petshop e Clinica Joao Grandao;-;83887137;White Knight;83887137;;26/11/2019;nexxto;Gateway; - ;Nao;83887137;55.00000000000001;-28.89090909090909;APROVADO;Em estoque;-
8741645;Zambon Laboratorios Farmaceuticos;-;83887704;White Knight;83887704;;03/03/2021;nexxto;Gateway; - ;Nao;83887704;62.0;-35.03225806451613;APROVADO;Em estoque;-
467853;Lenovo - Indaiatuba;-;83886752;White Knight;83886752;;;nexxto;Gateway; - ;Nao;83886752;45.0;-32.6;APROVADO;Em estoque;-
8741667;HAOC Paulista;Projeto Hospital Alemao Oswaldo Cruz HAOC;83887722;White Knight;83887722;;03/03/2021;nexxto;Gateway; - ;Nao;83887722;67.0;-39.3134328358209;APROVADO;Em estoque;-
15090513;-;-;83888310;White Knight;83888310;;10/01/2023;nexxto;Gateway; - ;;83888310;45.0;-24.044444444444444;APROVADO;Em estoque;-
459710;Hirota - Vila Olimpia;-;83886774;White Knight;83886774;;28/11/2017;nexxto;Gateway; - ;Nao;83886774;41.0;-46.48780487804878;APROVADO;Em estoque;-
5317507;-;-;83887160;White Knight;83887160;;26/11/2019;nexxto;Gateway; - ;Nao;83887160;49.0;-23.163265306122447;APROVADO;Em estoque;-
11567972;-;-;83888054;White Knight;83888054;;18/01/2022;nexxto;Gateway; - ;Nao;83888054;57.99999999999999;-22.17241379310345;APROVADO;Em estoque;-
74708;-;-;83886561;White Knight;83886561;;31/05/2017;nexxto;Gateway; - ;Nao;83886561;42.0;-26.452380952380953;APROVADO;Em estoque;-
66520;Alvorada Loja 03 - Cesario Alvim (Itajuba);-;83886539;White Knight;83886539;;03/05/2017;nexxto;Gateway; - ;Nao;83886539;39.0;-44.0;APROVADO;Em estoque;-
5317516;PetCenter - Pulo de Gato;-;83887192;White Knight;83887192;;26/11/2019;nexxto;Gateway; - ;Nao;83887192;48.0;-30.104166666666668;APROVADO;Em estoque;-
4195231;ONC31 RJ - RT Portugal;Projeto Oncoclinicas;83886800;White Knight;83886800;;31/05/2019;nexxto;Gateway; - ;Nao;83886800;50.0;-36.8;APROVADO;Em estoque;-
459745;Lenovo - Indaiatuba;-;83886678;White Knight;83886678;;28/11/2017;nexxto;Gateway; - ;Nao;83886678;51.0;-33.3921568627451;APROVADO;Em estoque;-
4195240;BRF - Lucas do Rio Verde;-;83886810;White Knight;83886810;;31/05/2019;nexxto;Gateway; - ;Nao;83886810;40.0;-36.5;APROVADO;Em estoque;-
459752;Trimais (Bergamais);-;83886754;White Knight;83886754;;28/11/2017;nexxto;Gateway; - ;Nao;83886754;50.0;-44.4;APROVADO;Em estoque;-
459766;BP Paulista;BP - A Beneficencia Portuguesa;83886738;White Knight;83886738;;28/11/2017;nexxto;Gateway; Farmacia - UTI 8°ANDAR;Nao;83886738;70.0;-51.44285714285714;APROVADO;Em estoque;-
